iter	Passed	Remaining
0	146	146021
1	148	74317
2	152	50558
3	155	38756
4	157	31386
5	160	26619
6	164	23266
7	168	20859
8	170	18819
9	173	17211
10	176	15896
11	179	14760
12	182	13858
13	185	13047
14	188	12383
15	191	11779
16	194	11221
17	197	10795
18	200	10341
19	203	9960
20	205	9586
21	208	9248
22	211	8977
23	214	8719
24	216	8461
25	219	8213
26	222	8001
27	225	7814
28	228	7643
29	236	7661
30	245	7675
31	249	7538
32	259	7609
33	273	7767
34	278	7668
35	281	7531
36	284	7409
37	288	7292
38	294	7256
39	300	7217
40	304	7125
41	308	7029
42	313	6974
43	320	6967
44	326	6930
45	332	6889
46	336	6827
47	339	6736
48	342	6639
49	344	6553
50	347	6473
51	350	6381
52	352	6296
53	354	6213
54	357	6134
55	362	6105
56	364	6037
57	367	5961
58	369	5887
59	371	5815
60	373	5747
61	377	5715
62	380	5657
63	382	5597
64	385	5539
65	387	5481
66	391	5455
67	393	5399
68	396	5343
69	398	5295
70	400	5243
71	403	5195
72	406	5155
73	409	5122
74	411	5076
75	413	5030
76	416	4993
77	419	4953
78	421	4918
79	424	4876
80	426	4835
81	428	4796
82	430	4758
83	432	4720
84	435	4691
85	438	4658
86	440	4623
87	442	4587
88	444	4553
89	446	4519
90	449	4485
91	451	4460
92	454	4430
93	456	4400
94	458	4369
95	460	4340
96	463	4311
97	465	4287
98	468	4264
99	470	4236
100	472	4208
101	475	4182
102	477	4156
103	479	4130
104	482	4115
105	484	4089
106	487	4065
107	490	4047
108	492	4024
109	494	4001
110	497	3984
111	500	3968
112	502	3947
113	505	3927
114	507	3907
115	511	3900
116	514	3882
117	516	3862
118	519	3848
119	522	3828
120	524	3810
121	528	3801
122	530	3784
123	533	3769
124	536	3754
125	537	3730
126	540	3713
127	543	3703
128	546	3687
129	548	3672
130	551	3655
131	553	3640
132	557	3632
133	560	3621
134	562	3605
135	565	3589
136	566	3568
137	568	3553
138	573	3552
139	576	3539
140	579	3527
141	583	3526
142	586	3513
143	588	3501
144	591	3485
145	593	3470
146	595	3455
147	597	3439
148	599	3425
149	601	3406
150	603	3391
151	605	3378
152	606	3357
153	608	3343
154	610	3330
155	613	3317
156	614	3300
157	616	3286
158	619	3278
159	620	3258
160	623	3246
161	625	3235
162	626	3217
163	629	3208
164	634	3208
165	636	3197
166	638	3185
167	639	3169
168	642	3159
169	643	3140
170	648	3143
171	650	3129
172	652	3119
173	654	3107
174	657	3098
175	661	3096
176	664	3089
177	667	3080
178	669	3071
179	672	3062
180	674	3052
181	677	3044
182	678	3029
183	680	3016
184	682	3006
185	683	2991
186	684	2977
187	686	2967
188	691	2967
189	693	2954
190	695	2945
191	697	2935
192	699	2923
193	701	2914
194	705	2910
195	707	2903
196	711	2898
197	713	2890
198	715	2880
199	720	2882
200	724	2881
201	725	2867
202	728	2861
203	731	2855
204	733	2842
205	736	2838
206	739	2832
207	741	2824
208	744	2817
209	747	2812
210	752	2812
211	753	2799
212	755	2793
213	758	2785
214	761	2780
215	764	2773
216	767	2767
217	769	2760
218	772	2753
219	774	2747
220	777	2740
221	780	2733
222	784	2732
223	789	2735
224	791	2727
225	794	2722
226	797	2717
227	800	2711
228	801	2699
229	804	2693
230	805	2682
231	810	2682
232	819	2696
233	821	2689
234	825	2686
235	828	2682
236	831	2676
237	832	2666
238	835	2660
239	838	2653
240	843	2655
241	845	2649
242	848	2644
243	852	2642
244	856	2637
245	859	2634
246	862	2630
247	867	2631
248	873	2635
249	884	2653
250	891	2661
251	896	2661
252	906	2675
253	910	2674
254	914	2671
255	917	2665
256	924	2673
257	928	2670
258	937	2681
259	940	2677
260	944	2672
261	950	2677
262	954	2675
263	957	2669
264	960	2662
265	962	2656
266	968	2659
267	971	2654
268	974	2648
269	977	2641
270	981	2640
271	984	2634
272	986	2628
273	989	2621
274	992	2616
275	997	2617
276	1000	2611
277	1003	2605
278	1005	2598
279	1007	2591
280	1012	2591
281	1014	2582
282	1016	2576
283	1019	2570
284	1021	2563
285	1025	2561
286	1030	2560
287	1034	2557
288	1047	2575
289	1051	2573
290	1059	2581
291	1063	2579
292	1067	2576
293	1072	2575
294	1076	2573
295	1080	2569
296	1084	2565
297	1092	2573
298	1099	2577
299	1116	2605
300	1122	2606
301	1127	2605
302	1130	2600
303	1134	2596
304	1139	2597
305	1146	2600
306	1153	2602
307	1157	2600
308	1161	2597
309	1164	2592
310	1172	2597
311	1177	2597
312	1183	2598
313	1188	2595
314	1193	2595
315	1205	2610
316	1211	2609
317	1218	2613
318	1223	2611
319	1228	2610
320	1237	2617
321	1243	2618
322	1253	2626
323	1260	2629
324	1266	2630
325	1270	2626
326	1277	2629
327	1282	2627
328	1288	2627
329	1293	2626
330	1298	2624
331	1302	2620
332	1312	2628
333	1315	2622
334	1317	2616
335	1324	2617
336	1327	2612
337	1331	2608
338	1335	2604
339	1338	2598
340	1343	2596
341	1346	2590
342	1349	2584
343	1352	2579
344	1357	2577
345	1360	2570
346	1363	2566
347	1366	2560
348	1370	2557
349	1374	2552
350	1380	2552
351	1384	2548
352	1392	2551
353	1401	2556
354	1405	2554
355	1410	2551
356	1415	2548
357	1418	2544
358	1422	2539
359	1424	2532
360	1427	2526
361	1429	2519
362	1433	2515
363	1436	2509
364	1438	2503
365	1441	2497
366	1444	2490
367	1448	2486
368	1451	2481
369	1453	2474
370	1455	2468
371	1458	2462
372	1462	2457
373	1466	2453
374	1469	2448
375	1471	2442
376	1474	2436
377	1478	2433
378	1481	2427
379	1484	2422
380	1487	2417
381	1490	2410
382	1494	2407
383	1498	2403
384	1500	2397
385	1503	2391
386	1506	2386
387	1510	2382
388	1513	2376
389	1515	2371
390	1518	2364
391	1520	2358
392	1524	2354
393	1526	2348
394	1529	2342
395	1531	2336
396	1534	2330
397	1537	2325
398	1540	2319
399	1543	2314
400	1545	2308
401	1547	2302
402	1550	2296
403	1554	2293
404	1558	2289
405	1561	2284
406	1565	2280
407	1571	2280
408	1574	2275
409	1576	2269
410	1579	2263
411	1582	2257
412	1584	2252
413	1587	2246
414	1589	2240
415	1592	2235
416	1594	2229
417	1596	2223
418	1600	2219
419	1602	2213
420	1605	2207
421	1607	2201
422	1609	2195
423	1612	2190
424	1615	2185
425	1617	2179
426	1619	2173
427	1622	2167
428	1624	2162
429	1626	2156
430	1629	2151
431	1632	2146
432	1634	2140
433	1637	2134
434	1639	2129
435	1641	2123
436	1646	2121
437	1648	2115
438	1651	2110
439	1654	2105
440	1656	2100
441	1659	2094
442	1664	2093
443	1667	2087
444	1669	2082
445	1672	2077
446	1676	2073
447	1679	2069
448	1685	2068
449	1688	2063
450	1691	2059
451	1694	2054
452	1696	2048
453	1702	2046
454	1704	2041
455	1708	2038
456	1711	2033
457	1716	2031
458	1719	2026
459	1723	2022
460	1725	2017
461	1728	2012
462	1730	2007
463	1732	2001
464	1735	1996
465	1739	1993
466	1741	1987
467	1744	1982
468	1746	1977
469	1749	1972
470	1753	1969
471	1755	1964
472	1758	1959
473	1761	1954
474	1764	1949
475	1768	1947
476	1777	1948
477	1781	1945
478	1786	1943
479	1790	1940
480	1794	1935
481	1798	1932
482	1802	1929
483	1805	1924
484	1807	1919
485	1810	1914
486	1814	1911
487	1818	1907
488	1820	1902
489	1822	1897
490	1824	1891
491	1827	1886
492	1830	1882
493	1832	1877
494	1835	1872
495	1837	1867
496	1839	1862
497	1842	1857
498	1846	1853
499	1848	1848
500	1850	1843
501	1852	1838
502	1855	1832
503	1858	1828
504	1861	1824
505	1863	1819
506	1866	1814
507	1868	1809
508	1871	1805
509	1875	1802
510	1878	1797
511	1880	1792
512	1883	1788
513	1886	1783
514	1890	1780
515	1893	1775
516	1896	1772
517	1899	1767
518	1904	1765
519	1908	1761
520	1910	1756
521	1913	1751
522	1916	1747
523	1920	1744
524	1924	1741
525	1926	1736
526	1929	1731
527	1932	1727
528	1935	1723
529	1946	1725
530	1950	1722
531	1953	1718
532	1956	1714
533	1959	1709
534	1961	1705
535	1965	1701
536	1968	1697
537	1970	1692
538	1974	1688
539	1976	1684
540	1980	1680
541	1984	1676
542	1986	1672
543	1989	1667
544	1992	1663
545	1997	1660
546	2000	1656
547	2002	1651
548	2005	1647
549	2010	1645
550	2015	1642
551	2020	1639
552	2022	1635
553	2026	1631
554	2029	1627
555	2032	1623
556	2036	1619
557	2039	1615
558	2042	1611
559	2045	1607
560	2048	1602
561	2051	1598
562	2054	1594
563	2058	1591
564	2062	1588
565	2065	1584
566	2068	1579
567	2072	1576
568	2076	1573
569	2079	1568
570	2082	1564
571	2094	1567
572	2098	1563
573	2107	1564
574	2110	1559
575	2113	1555
576	2115	1550
577	2119	1547
578	2124	1544
579	2127	1540
580	2130	1536
581	2134	1532
582	2137	1529
583	2140	1524
584	2142	1520
585	2145	1515
586	2149	1512
587	2206	1545
588	2211	1543
589	2217	1541
590	2223	1538
591	2232	1538
592	2242	1539
593	2251	1538
594	2256	1535
595	2268	1537
596	2273	1534
597	2282	1534
598	2285	1529
599	2287	1525
600	2289	1520
601	2293	1516
602	2295	1511
603	2298	1506
604	2300	1502
605	2304	1498
606	2314	1498
607	2318	1494
608	2322	1491
609	2327	1488
610	2330	1484
611	2333	1479
612	2335	1474
613	2338	1470
614	2341	1465
615	2344	1461
616	2346	1456
617	2348	1451
618	2351	1447
619	2354	1442
620	2356	1438
621	2359	1433
622	2361	1429
623	2364	1424
624	2366	1419
625	2369	1415
626	2371	1411
627	2374	1406
628	2376	1402
629	2379	1397
630	2381	1392
631	2385	1388
632	2387	1384
633	2390	1379
634	2392	1375
635	2394	1370
636	2397	1365
637	2400	1361
638	2402	1357
639	2405	1352
640	2407	1348
641	2409	1343
642	2412	1339
643	2415	1335
644	2417	1330
645	2419	1326
